ts,equity
2025-08-19T20:44:02.945690+00:00,915.19
2025-08-19T20:50:02.516079+00:00,915.19
2025-08-19T20:56:02.037344+00:00,915.19
2025-08-19T21:02:02.181778+00:00,915.19
2025-08-19T21:08:02.007773+00:00,915.19
2025-08-19T21:14:01.998071+00:00,915.19
2025-08-19T21:19:02.009699+00:00,915.19
2025-08-19T21:25:02.663332+00:00,915.19
2025-08-19T21:31:01.995980+00:00,915.19
2025-08-19T21:37:02.042016+00:00,915.19
2025-08-19T21:43:02.088173+00:00,915.19
2025-08-19T21:48:02.032803+00:00,915.19
2025-08-19T21:54:01.993064+00:00,915.19
2025-08-19T22:00:03.284840+00:00,915.19
2025-08-19T22:05:03.169352+00:00,915.19
2025-08-19T22:11:02.011899+00:00,915.19
2025-08-19T22:17:02.106604+00:00,915.19
2025-08-19T22:23:02.011456+00:00,915.19
2025-08-19T22:29:02.036663+00:00,915.19
2025-08-19T22:35:02.707050+00:00,915.19
2025-08-19T22:41:02.054972+00:00,915.19
2025-08-19T22:47:01.698276+00:00,915.19
2025-08-19T22:52:02.024544+00:00,915.19
2025-08-19T22:58:02.013255+00:00,915.19
2025-08-19T23:03:02.249273+00:00,915.19
2025-08-19T23:09:02.048320+00:00,915.19
2025-08-19T23:15:02.826730+00:00,915.19
2025-08-19T23:20:02.614618+00:00,915.19
2025-08-19T23:26:02.033696+00:00,915.19
2025-08-19T23:32:02.030707+00:00,915.19
2025-08-19T23:38:02.188148+00:00,915.19
2025-08-19T23:44:02.107241+00:00,915.19
2025-08-19T23:49:02.016070+00:00,915.19
2025-08-19T23:55:02.619204+00:00,915.19
2025-08-20T00:00:03.713612+00:00,915.19
2025-08-20T00:06:02.001881+00:00,915.19
2025-08-20T00:12:02.072529+00:00,915.19
2025-08-20T00:18:01.994957+00:00,915.19
2025-08-20T00:24:02.113249+00:00,915.19
2025-08-20T00:30:02.794867+00:00,915.19
2025-08-20T00:36:02.014447+00:00,915.19
2025-08-20T00:41:02.019888+00:00,915.19
2025-08-20T00:47:01.997108+00:00,915.19
2025-08-20T00:52:02.009013+00:00,915.19
2025-08-20T00:58:01.991203+00:00,915.19
2025-08-20T01:03:02.013274+00:00,915.19
2025-08-20T01:09:02.041601+00:00,915.19
2025-08-20T01:15:02.932960+00:00,915.19
2025-08-20T01:21:02.010263+00:00,915.19
2025-08-20T01:27:01.982579+00:00,915.19
2025-08-20T01:33:02.023316+00:00,915.19
2025-08-20T01:38:02.267006+00:00,915.19
2025-08-20T01:44:02.015615+00:00,915.19
2025-08-20T01:50:02.574934+00:00,915.19
2025-08-20T01:56:01.987484+00:00,915.19
2025-08-20T02:02:02.011477+00:00,915.19
2025-08-20T02:07:02.013884+00:00,915.19
2025-08-20T02:13:02.011360+00:00,915.19
2025-08-20T02:18:02.013247+00:00,915.27
2025-08-20T02:24:01.926882+00:00,915.32
2025-08-20T02:35:03.461235+00:00,915.29
2025-08-20T02:52:05.907102+00:00,915.55
2025-08-20T02:58:02.063311+00:00,915.31
2025-08-20T03:12:03.736844+00:00,914.41
2025-08-20T03:18:02.106331+00:00,914.51
2025-08-20T03:24:01.981913+00:00,914.85
2025-08-20T03:30:02.698667+00:00,915.18
2025-08-20T03:35:02.496740+00:00,915.50
2025-08-20T03:51:02.907794+00:00,914.00
2025-08-20T04:08:03.761599+00:00,914.33
2025-08-20T04:14:01.958627+00:00,914.32
2025-08-20T04:19:01.910125+00:00,914.66
2025-08-20T04:24:01.955050+00:00,914.67
2025-08-20T04:29:01.945198+00:00,914.99
2025-08-20T04:34:01.936474+00:00,915.58
2025-08-20T04:40:02.395667+00:00,913.77
2025-08-20T04:46:01.959883+00:00,913.40
2025-08-20T04:52:01.932967+00:00,913.65
2025-08-20T04:58:01.936255+00:00,913.65
2025-08-20T05:03:02.054469+00:00,913.44
2025-08-20T05:09:02.815249+00:00,913.06
2025-08-20T05:15:03.129476+00:00,912.71
2025-08-20T05:20:02.461182+00:00,912.40
2025-08-20T05:26:01.998510+00:00,912.62
2025-08-20T05:32:01.945247+00:00,912.57
2025-08-20T05:37:02.005586+00:00,913.55
2025-08-20T05:43:01.950850+00:00,913.67
2025-08-20T05:48:01.982390+00:00,913.80
2025-08-20T05:53:01.981326+00:00,913.93
2025-08-20T05:58:01.987005+00:00,914.47
2025-08-20T06:04:01.979798+00:00,914.54
2025-08-20T06:17:05.994871+00:00,913.18
2025-08-20T06:23:02.219497+00:00,913.60
2025-08-20T06:28:02.012570+00:00,913.08
2025-08-20T06:34:02.164865+00:00,913.44
2025-08-20T06:40:02.537676+00:00,914.49
2025-08-20T06:45:02.838214+00:00,914.36
2025-08-20T06:51:02.008663+00:00,913.60
2025-08-20T06:57:01.990906+00:00,914.18
2025-08-20T07:12:03.694812+00:00,914.94
2025-08-20T07:18:02.009670+00:00,914.96
2025-08-20T07:24:02.016460+00:00,914.80
2025-08-20T07:30:02.682151+00:00,914.60
2025-08-20T07:36:02.064009+00:00,913.69
2025-08-20T07:42:02.053326+00:00,914.20
2025-08-20T07:48:02.007285+00:00,914.43
2025-08-20T07:53:01.995874+00:00,914.02
2025-08-20T07:58:01.980156+00:00,913.27
2025-08-20T08:04:02.049989+00:00,913.46
2025-08-20T08:10:02.569769+00:00,913.29
2025-08-20T08:16:01.969836+00:00,914.20
2025-08-20T08:21:02.113585+00:00,914.29
2025-08-20T08:27:02.059424+00:00,914.13
2025-08-20T08:32:02.198554+00:00,915.18
2025-08-20T08:38:01.993058+00:00,915.27
2025-08-20T08:43:02.003416+00:00,915.39
2025-08-20T08:49:01.984255+00:00,915.81
2025-08-20T08:55:02.550861+00:00,915.30
2025-08-20T09:11:06.121145+00:00,915.92
2025-08-20T09:17:02.034313+00:00,915.92
2025-08-20T09:32:02.834564+00:00,915.09
2025-08-20T09:36:03.014250+00:00,915.28
2025-08-20T09:42:01.937729+00:00,915.77
2025-08-20T09:47:02.063658+00:00,915.65
2025-08-20T09:53:02.042572+00:00,914.69
2025-08-20T09:58:01.936932+00:00,914.32
2025-08-20T10:04:01.937367+00:00,914.80
2025-08-20T10:17:02.835858+00:00,914.83
2025-08-20T10:23:01.950408+00:00,914.63
2025-08-20T10:28:01.939685+00:00,914.05
2025-08-20T10:34:01.941264+00:00,913.93
2025-08-20T10:39:01.948718+00:00,913.96
2025-08-20T10:45:02.864210+00:00,914.38
2025-08-20T10:51:01.934300+00:00,914.60
2025-08-20T10:56:01.952674+00:00,914.20
2025-08-20T11:01:01.960995+00:00,914.43
2025-08-20T11:17:02.870734+00:00,913.08
2025-08-20T11:23:01.935229+00:00,912.82
2025-08-20T11:28:01.937493+00:00,912.80
2025-08-20T11:33:02.050845+00:00,910.68
2025-08-20T11:47:02.840489+00:00,910.32
2025-08-20T11:53:02.056975+00:00,912.24
2025-08-20T11:59:01.939639+00:00,912.55
2025-08-20T12:05:02.669376+00:00,914.83
2025-08-20T12:17:02.967275+00:00,327.94
2025-08-20T12:22:03.226912+00:00,913.35
2025-08-20T12:28:01.951360+00:00,913.73
2025-08-20T12:33:02.065013+00:00,914.23
2025-08-20T12:38:01.945754+00:00,915.48
2025-08-20T12:44:01.937701+00:00,915.83
2025-08-20T12:49:01.955137+00:00,915.61
2025-08-20T12:54:01.958571+00:00,916.05
2025-08-20T12:59:02.079923+00:00,915.86
2025-08-20T13:05:02.575238+00:00,914.92
2025-08-20T13:17:02.991327+00:00,913.42
2025-08-20T13:23:02.084469+00:00,913.58
2025-08-20T13:28:02.217750+00:00,913.94
2025-08-20T13:34:01.942021+00:00,912.98
2025-08-20T13:40:02.414794+00:00,914.16
2025-08-20T13:45:02.708752+00:00,913.55
2025-08-20T13:51:01.951311+00:00,911.14
2025-08-20T13:56:02.065401+00:00,911.05
2025-08-20T14:01:02.404923+00:00,911.03
2025-08-20T14:06:01.961830+00:00,908.71
2025-08-20T14:12:01.954787+00:00,908.49
2025-08-20T14:17:01.951526+00:00,908.24
2025-08-20T14:22:02.057965+00:00,910.79
2025-08-20T14:27:03.130663+00:00,910.74
2025-08-20T14:33:01.947513+00:00,913.69
2025-08-20T14:38:01.968895+00:00,914.94
2025-08-20T14:43:01.945604+00:00,915.54
2025-08-20T14:49:02.102957+00:00,916.05
2025-08-20T14:55:02.623718+00:00,915.81
2025-08-20T15:00:04.145106+00:00,914.72
2025-08-20T15:17:02.807317+00:00,919.34
2025-08-20T15:23:01.954215+00:00,920.19
2025-08-20T15:28:01.955354+00:00,920.00
2025-08-20T15:34:01.961239+00:00,919.50
2025-08-20T15:40:02.517064+00:00,919.39
2025-08-20T15:45:02.901311+00:00,919.32
2025-08-20T15:50:02.555111+00:00,919.00
2025-08-20T15:56:01.977145+00:00,918.97
2025-08-20T16:15:03.676257+00:00,919.57
2025-08-20T16:20:02.438382+00:00,920.00
2025-08-20T16:25:02.467495+00:00,919.79
2025-08-20T16:31:02.026521+00:00,919.82
2025-08-20T16:37:01.981269+00:00,919.34
2025-08-20T16:43:02.093223+00:00,919.54
2025-08-20T16:48:01.943391+00:00,919.95
2025-08-20T16:54:01.942318+00:00,919.80
2025-08-20T16:59:02.118430+00:00,919.29
2025-08-20T17:04:01.957393+00:00,919.61
2025-08-20T17:10:02.732819+00:00,920.02
2025-08-20T17:16:02.771118+00:00,919.60
2025-08-20T17:21:02.065944+00:00,919.67
2025-08-20T17:27:01.946456+00:00,919.53
2025-08-20T17:33:02.075950+00:00,919.67
2025-08-20T17:39:01.939865+00:00,919.72
2025-08-20T17:44:01.962555+00:00,920.17
2025-08-20T17:50:02.471365+00:00,920.65
2025-08-20T17:56:01.945205+00:00,920.23
2025-08-20T18:02:01.971383+00:00,920.28
2025-08-20T18:07:01.955249+00:00,919.65
2025-08-20T18:12:01.981694+00:00,919.67
2025-08-20T18:18:02.075614+00:00,919.41
2025-08-20T18:24:01.957699+00:00,919.11
2025-08-20T18:30:02.678825+00:00,918.79
2025-08-20T18:36:01.962345+00:00,918.77
2025-08-20T18:41:01.948017+00:00,919.13
2025-08-20T18:47:01.938595+00:00,919.32
2025-08-20T18:53:01.949929+00:00,919.34
2025-08-20T18:58:01.958307+00:00,919.37
2025-08-20T19:04:01.981095+00:00,919.55
2025-08-20T19:09:01.984208+00:00,919.71
2025-08-20T19:15:02.928602+00:00,920.09
2025-08-20T19:20:02.884296+00:00,920.04
2025-08-20T19:25:03.317234+00:00,920.97
2025-08-20T19:30:03.696912+00:00,920.75
2025-08-20T19:36:03.119069+00:00,920.89
2025-08-20T19:42:01.960832+00:00,920.90
2025-08-20T19:47:01.977213+00:00,921.17
2025-08-20T19:53:01.952120+00:00,921.75
2025-08-20T19:59:02.013144+00:00,922.45
2025-08-20T20:04:01.991592+00:00,921.76
2025-08-20T20:10:02.577879+00:00,921.76
2025-08-20T20:16:01.958178+00:00,921.76
2025-08-20T20:22:02.213927+00:00,921.76
2025-08-20T20:26:06.515608+00:00,921.76
2025-08-20T20:32:01.951165+00:00,921.79
2025-08-20T20:37:02.118587+00:00,921.75
2025-08-20T20:43:01.947113+00:00,921.82
2025-08-20T20:48:02.055625+00:00,921.86
2025-08-20T20:53:01.958483+00:00,921.87
2025-08-20T20:59:01.944056+00:00,921.82
2025-08-20T21:04:01.989612+00:00,921.84
2025-08-20T21:09:02.023769+00:00,921.84
2025-08-20T21:15:03.021166+00:00,921.79
2025-08-20T21:21:01.996957+00:00,921.61
2025-08-20T21:27:02.784294+00:00,921.60
2025-08-20T21:32:01.973718+00:00,921.55
2025-08-20T21:38:01.954836+00:00,921.53
2025-08-20T21:43:01.951075+00:00,921.84
2025-08-20T21:49:01.940978+00:00,921.89
2025-08-20T21:55:02.557670+00:00,921.91
2025-08-20T22:00:03.602141+00:00,921.84
2025-08-20T22:06:01.977134+00:00,921.83
2025-08-20T22:12:02.434113+00:00,921.80
2025-08-20T22:18:02.405662+00:00,921.79
2025-08-20T22:24:01.941502+00:00,921.85
2025-08-20T22:30:03.355594+00:00,921.88
2025-08-20T22:36:02.310851+00:00,921.81
2025-08-20T22:41:02.193768+00:00,921.87
2025-08-20T22:47:01.969006+00:00,921.92
2025-08-20T22:52:02.202400+00:00,921.90
2025-08-20T22:57:02.308030+00:00,921.96
2025-08-20T23:02:02.935912+00:00,921.85
2025-08-20T23:17:02.864730+00:00,921.81
2025-08-20T23:23:01.953869+00:00,921.78
2025-08-20T23:28:01.953204+00:00,921.79
2025-08-20T23:33:01.951329+00:00,921.80
2025-08-20T23:39:01.945297+00:00,921.87
2025-08-20T23:44:02.062379+00:00,921.97
2025-08-20T23:50:02.465805+00:00,921.89
2025-08-20T23:56:02.220138+00:00,921.97
2025-08-21T00:01:01.955755+00:00,922.02
2025-08-21T00:07:01.959528+00:00,922.14
2025-08-21T00:12:02.056745+00:00,921.97
2025-08-21T00:18:02.794454+00:00,921.92
2025-08-21T00:24:02.073016+00:00,921.91
2025-08-21T00:29:01.938004+00:00,921.91
2025-08-21T00:42:02.985279+00:00,922.19
2025-08-21T00:48:01.950497+00:00,922.09
2025-08-21T00:54:01.961742+00:00,921.97
2025-08-21T00:59:01.955042+00:00,922.07
2025-08-21T01:05:02.682411+00:00,922.01
2025-08-21T01:10:02.503944+00:00,921.98
2025-08-21T01:15:03.030690+00:00,921.96
2025-08-21T01:21:01.959523+00:00,921.83
2025-08-21T01:26:01.943614+00:00,921.89
2025-08-21T01:42:02.875502+00:00,921.94
2025-08-21T01:48:01.953456+00:00,921.88
2025-08-21T01:53:01.977794+00:00,922.00
2025-08-21T01:58:02.066025+00:00,922.25
2025-08-21T02:03:01.963506+00:00,922.23
2025-08-21T02:08:01.965997+00:00,922.23
2025-08-21T02:14:01.952366+00:00,922.23
2025-08-21T02:19:01.971193+00:00,922.23
2025-08-21T02:24:01.966589+00:00,922.23
2025-08-21T02:29:01.962360+00:00,922.23
2025-08-21T02:35:02.482256+00:00,922.23
2025-08-21T02:40:02.444882+00:00,922.23
2025-08-21T02:45:02.828684+00:00,922.23
2025-08-21T02:51:01.965240+00:00,922.23
2025-08-21T02:56:01.968525+00:00,922.23
2025-08-21T03:01:01.969423+00:00,922.23
2025-08-21T03:07:01.964719+00:00,922.23
2025-08-21T03:13:01.967707+00:00,922.23
2025-08-21T03:19:02.079488+00:00,922.23
2025-08-21T03:24:01.957462+00:00,922.23
2025-08-21T03:30:02.697478+00:00,922.23
2025-08-21T03:50:03.573024+00:00,922.23
2025-08-21T03:56:01.958791+00:00,922.23
2025-08-21T04:01:02.087480+00:00,922.23
2025-08-21T04:07:01.976124+00:00,922.22
2025-08-21T04:13:01.972356+00:00,922.15
2025-08-21T04:18:01.973544+00:00,922.13
2025-08-21T04:23:01.981766+00:00,922.04
2025-08-21T04:28:02.074484+00:00,922.01
2025-08-21T04:34:02.129831+00:00,922.19
2025-08-21T04:40:03.173450+00:00,922.10
2025-08-21T04:46:01.987811+00:00,922.26
2025-08-21T04:52:01.992404+00:00,922.26
2025-08-21T04:57:01.999225+00:00,922.16
2025-08-21T05:03:01.983889+00:00,922.01
2025-08-21T05:17:02.847838+00:00,921.94
2025-08-21T05:23:01.966476+00:00,921.91
2025-08-21T05:29:01.869819+00:00,921.97
2025-08-21T05:34:02.117898+00:00,922.05
2025-08-21T05:39:01.950395+00:00,922.01
2025-08-21T05:44:01.955820+00:00,922.08
2025-08-21T05:50:02.517947+00:00,922.18
2025-08-21T05:56:01.953281+00:00,922.20
2025-08-21T06:01:01.953496+00:00,922.17
2025-08-21T06:06:01.953962+00:00,921.90
2025-08-21T06:12:01.951474+00:00,921.92
2025-08-21T06:17:01.954070+00:00,921.95
2025-08-21T06:23:01.999827+00:00,921.92
2025-08-21T06:28:02.135862+00:00,921.89
2025-08-21T06:33:01.971073+00:00,921.96
2025-08-21T06:39:02.010087+00:00,921.97
2025-08-21T06:45:02.594515+00:00,922.03
2025-08-21T06:50:02.727872+00:00,921.92
2025-08-21T06:55:02.678807+00:00,921.90
2025-08-21T07:01:02.094933+00:00,921.79
2025-08-21T07:07:01.975483+00:00,921.54
2025-08-21T07:12:01.852927+00:00,921.54
2025-08-21T07:17:01.849061+00:00,921.54
2025-08-21T07:22:01.948949+00:00,921.54
2025-08-21T08:59:02.950778+00:00,921.54
2025-08-21T09:05:02.465938+00:00,921.54
2025-08-21T09:10:02.500293+00:00,921.54
2025-08-21T09:16:01.870711+00:00,921.54
2025-08-21T09:21:01.861151+00:00,921.54
2025-08-21T09:27:01.984550+00:00,921.54
2025-08-21T09:32:01.849758+00:00,921.54
2025-08-21T09:37:01.959825+00:00,921.54
2025-08-21T09:43:01.854626+00:00,921.54
2025-08-21T09:48:01.861091+00:00,921.54
2025-08-21T09:54:01.849426+00:00,921.54
2025-08-21T09:59:01.856758+00:00,921.54
2025-08-21T10:04:01.859004+00:00,921.54
2025-08-21T10:10:02.442277+00:00,921.54
2025-08-21T10:15:02.501410+00:00,921.54
2025-08-21T10:21:01.853424+00:00,921.54
2025-08-21T10:26:01.847758+00:00,921.54
2025-08-21T10:31:01.850060+00:00,921.54
2025-08-21T10:37:01.841839+00:00,921.54
2025-08-21T10:43:01.847002+00:00,921.54
2025-08-21T10:48:01.847540+00:00,921.54
2025-08-21T10:54:01.835675+00:00,921.54
2025-08-21T10:59:01.962676+00:00,921.54
2025-08-21T11:05:02.395107+00:00,921.54
2025-08-21T11:10:03.021529+00:00,921.54
2025-08-21T11:15:03.739221+00:00,921.54
2025-08-21T11:21:01.859437+00:00,921.54
2025-08-21T11:26:01.977765+00:00,921.54
2025-08-21T11:31:02.092093+00:00,921.54
2025-08-21T11:37:01.848897+00:00,921.54
2025-08-21T11:43:01.885344+00:00,921.54
2025-08-21T11:48:01.854024+00:00,921.54
2025-08-21T11:53:01.847201+00:00,921.54
2025-08-21T11:59:01.845816+00:00,921.54
2025-08-21T12:05:02.509906+00:00,921.54
2025-08-21T12:10:02.385338+00:00,921.54
2025-08-21T12:16:01.846793+00:00,921.54
2025-08-21T12:21:01.855231+00:00,921.54
2025-08-21T12:27:01.972682+00:00,921.54
2025-08-21T12:33:01.858133+00:00,921.54
2025-08-21T12:38:01.858849+00:00,921.54
2025-08-21T12:43:01.859485+00:00,921.54
2025-08-21T12:49:01.849620+00:00,921.54
2025-08-21T12:55:02.519761+00:00,921.54
2025-08-21T13:01:01.976313+00:00,921.54
2025-08-21T13:06:01.838470+00:00,921.54
2025-08-21T13:11:01.829562+00:00,921.54
2025-08-21T13:17:01.841766+00:00,921.54
2025-08-21T13:22:01.832555+00:00,921.54
2025-08-21T13:28:01.837421+00:00,921.54
2025-08-21T13:34:01.957643+00:00,921.54
2025-08-21T13:40:02.367061+00:00,921.54
2025-08-21T13:46:01.848463+00:00,921.54
2025-08-21T13:52:01.827947+00:00,921.54
2025-08-21T13:58:01.832009+00:00,921.54
2025-08-21T14:04:01.861288+00:00,921.54
2025-08-21T14:10:02.448655+00:00,921.54
2025-08-21T14:15:02.753554+00:00,921.54
2025-08-21T14:21:01.852329+00:00,921.54
2025-08-22T06:44:08.074751+00:00,921.54
2025-08-22T06:50:06.693603+00:00,921.54
2025-08-22T06:55:06.886631+00:00,921.54
2025-08-22T07:00:07.756071+00:00,921.54
2025-08-22T07:05:06.678911+00:00,921.62
2025-08-22T07:11:06.217897+00:00,921.68
2025-08-22T07:17:06.441236+00:00,921.61
2025-08-22T07:22:06.548165+00:00,921.66
2025-08-22T07:28:06.184565+00:00,921.67
